,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.0,0.0,0.01,0.01,0.07,0.0,0.45
secondary.dMass,0.0,0.01,0.01,0.01,0.0,0.13,0.44
primary.dRotPeriod,0.47,0.0,0.0,0.0,0.26,0.0,0.0
secondary.dRotPeriod,0.0,0.51,0.0,0.0,0.0,0.15,0.0
secondary.dEcc,0.15,0.07,0.14,0.54,0.01,0.0,0.02
primary.dTidalQ,0.02,0.01,0.35,0.32,0.0,0.0,0.01
