,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.01,0.02,0.0,0.02,0.07,0.0,0.45
secondary.dMass,0.0,0.0,0.0,0.0,0.0,0.12,0.44
primary.dRotPeriod,0.67,0.0,0.0,0.01,0.3,0.0,0.0
secondary.dRotPeriod,0.0,0.67,0.0,0.0,0.0,0.31,0.0
secondary.dEcc,0.08,0.0,0.04,0.74,0.0,0.0,0.01
primary.dTidalQ,0.02,0.0,0.14,0.11,0.0,0.0,0.0
