,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.0,0.0,0.0,0.0
secondary.dMass,0.0,0.0,0.0,0.0
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.01,0.0,0.0,0.0
secondary.dRotPeriod,0.0,0.01,0.0,0.0
secondary.dEcc,0.08,0.1,0.04,0.09
secondary.dOrbPeriod,0.64,0.65,0.92,0.15
primary.dTidalTau,0.07,0.1,0.0,0.25
